OMICS_ICL103_NS1_7hr_Protein_1_068,OMICS_ICL103_NS1_7hr_Protein_3_030,OMICS_ICL103_NS1_7hr_Protein_3_030.1,OMICS_ICL103_NS1_7hr_Protein_4_010,OMICS_ICL103_NS1_7hr_Protein_5_039,OMICS_ICL103_VN1203_7hr_Protein_1_055,OMICS_ICL103_VN1203_7hr_Protein_2_060,OMICS_ICL103_VN1203_7hr_Protein_4_004,OMICS_ICL103_VN1203_7hr_Protein_4_004.1,OMICS_ICL103_VN1203_7hr_Protein_5_075
ARMC6,18.821247563254605,19.744902801802525,19.47112541602281,20.53206032219747,18.860236240139628,20.05054742134782,19.5903722706537,20.1080786750853,20.35342504649947,19.772083302879587
ACTR2,21.214076283119574,22.35614684028589,20.815909077280683,21.322302351765373,21.162267949337014,21.976225319499058,22.49116407367173,22.131521831267495,20.883772632157232,21.57357671840927
ACTR3B,22.28978208356039,22.514226541510517,22.29742807688534,22.47482251125574,22.09545191955504,23.354699273301605,22.281513112856267,22.53318894609519,22.909738060869323,21.700422839299215
ACTR3,22.831736158659886,22.70838299266112,22.48751826083125,22.513850463581637,22.78699341206719,22.701143789725023,22.47972344732726,22.606537127813375,22.72422658785835,22.86236016144895
ARPC5L,22.2353673057592,21.747355101747203,23.467792648351455,22.205879195681035,22.924505767445936,22.846896026826922,21.254962154785453,20.823829233562776,21.817544668884082,22.01573390787555
ACTR5,22.15895672278792,22.514226541510517,21.470248337704696,22.375875553942887,21.281221430709973,23.949786531367145,21.843405028816772,22.551230391669847,22.42876182632659,22.84755850463348
ARPC2,22.551482013964367,22.580820571020837,22.87691422489638,22.95420848252295,22.458023384724626,22.90528365293859,22.646113962690993,22.590581163146513,22.89827841776055,22.757571258735247
ARPC3,20.846918649779628,21.440449017878446,20.82750433798536,21.589545261982924,21.678284009353845,21.442889134025833,21.87426299268646,21.641746284381902,21.732531782849616,21.326480476979278
ARPC4,23.357309255239166,23.602574840612178,23.545005823159293,23.469419731963246,23.457970456369512,23.68875603194155,23.43119065518947,23.389473550369033,23.797160900118943,23.416081214730795
ARPC5,24.77645146709,24.630708551900707,24.782067460111367,24.795651404450435,24.342096679002132,24.854499603316988,24.91138711511487,25.127906681110737,24.36975419524182,24.742541714593766
ASAH1,20.440671697406387,21.116190453014966,20.437197826426363,21.079445978777606,20.87274117346532,21.282079739148543,20.883758190285498,20.772117911271287,21.088955974141335,21.133875698690513
PYCARD,19.471876552172994,19.502364596242785,18.502992304730704,19.855299318874888,19.04354108558897,19.815271205120528,19.20975052125697,19.549079983061716,19.555636905811383,19.513179316060977
ASPH,19.721448656350283,20.039057155692323,19.935375661144157,20.13352077488443,19.46166267914935,21.808055869371636,20.760935050559347,20.77482966433751,20.04194955361701,20.432698485477022
